Date,Open,High,Low,Close,Adj Close,Volume
18-03-2015,19.5,20.139999,19.5,20.049999,8.793964,3679400
19-03-2015,20.07,21.1,20.049999,20.799999,9.122917,801700
20-03-2015,21.200001,21.75,21,21.15,9.276424,524100
21-03-2015,21.15,21.75,21.15,21.309999,9.346602,305500
22-03-2015,21.299999,21.700001,20.6,20.76,9.105369,350700
23-03-2015,21.309999,21.309999,20.76,20.9,9.166777,207900
24-03-2015,20.65,21.07,20.620001,21.049999,9.232565,194100
25-03-2015,20.74,20.884001,20.5,20.65,9.057128,117700
26-03-2015,20.639999,21.075001,19.77,20.17,8.846595,243600
27-03-2015,20.059999,20.775,20,20.66,9.061511,130200
28-03-2015,20.629999,20.82,20.32,20.33,8.916771,111400
29-03-2015,20.299999,20.700001,20.299999,20.5,8.991337,111500
30-03-2015,20.41,20.59,20.309999,20.549999,9.013268,97800
31-03-2015,20.51,20.75,20.450001,20.549999,9.013268,103100
01-04-2015,20.74,21,20.549999,20.93,9.179934,112600
02-04-2015,20.950001,21.25,20.860001,21.25,9.320285,123300
03-04-2015,21.110001,22.450001,21.110001,21.709999,9.52204,218800
04-04-2015,21.98,22.33,21.51,21.59,9.46941,284300
05-04-2015,21.5,21.969999,21.309999,21.860001,9.587832,232900
06-04-2015,21.92,21.92,21.41,21.42,9.394848,184900
07-04-2015,21.389999,21.656,21.34,21.4,9.386077,131900
08-04-2015,21.4,21.6,21.200001,21.43,9.399234,146800
09-04-2015,22,22,21.200001,21.35,9.364146,126500
10-04-2015,21.75,21.75,21.209999,21.5,9.429937,82000
11-04-2015,21.5,21.57,21.4,21.5,9.429937,78200
12-04-2015,21.59,21.799999,21.379999,21.459999,9.412391,101300
13-04-2015,21.6,21.6,21.389999,21.49,9.42555,71100
14-04-2015,21.5,21.74,21.4,21.559999,9.456254,100800
15-04-2015,21.48,21.58,21.33,21.49,9.42555,82300
16-04-2015,21.5,21.549999,20.889999,20.93,9.179934,120100
17-04-2015,20.9,21.158001,20.75,20.85,9.144845,73300
18-04-2015,20.799999,21,20.77,20.780001,9.114141,69400
19-04-2015,20.77,20.93,20.75,20.93,9.179934,33200
20-04-2015,20.83,21.75,20.83,21.25,9.320285,66000
21-04-2015,21.25,21.5,20.799999,20.99,9.206248,49600
22-04-2015,20.809999,21.25,20.799999,21.18,9.289584,77400
23-04-2015,21.1,21.249001,20.83,21.07,9.241336,51700
24-04-2015,21.129999,21.49,21.1,21.43,9.399234,126800
25-04-2015,21.48,21.49,21.01,21.200001,9.298356,93900
26-04-2015,21.290001,21.486,20.85,20.889999,9.16239,77000
27-04-2015,21.34,21.49,21.01,21.440001,9.403622,119200
28-04-2015,21.389999,21.84,21.299999,21.65,9.495728,343200
29-04-2015,21.549999,21.700001,21.26,21.51,9.434322,280500
30-04-2015,21.85,21.85,21.34,21.34,9.359762,191400
01-05-2015,21.299999,21.629999,21.299999,21.4,9.386077,109000
02-05-2015,21.4,21.700001,21.4,21.51,9.434322,128500
03-05-2015,21.690001,21.690001,21.450001,21.49,9.42555,75700
04-05-2015,21.690001,21.690001,21.360001,21.41,9.390462,105600
05-05-2015,21.530001,21.530001,21.030001,21.040001,9.228181,131200
06-05-2015,21.139999,21.66,21.030001,21.5,9.429937,155200
07-05-2015,21.690001,22.25,21.52,22.24,9.754502,171500
08-05-2015,21.809999,22.700001,21.799999,22.48,9.859767,174800
09-05-2015,22.48,23.309999,22.48,23,10.087836,261900
10-05-2015,23.139999,23.33,22.608999,22.780001,9.991349,213500
11-05-2015,22.040001,22.200001,21.65,22.17,9.723797,222600
